wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                    
{'loss': 0.0, 'grad_norm': 12.872356414794922, 'learning_rate': 6.231454005934719e-07, 'num_tokens': 778026.0, 'completions/mean_length': 1022.46875, 'completions/min_length': 995.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.28125, 'rewards/compute_reward/std': 0.45680341124534607, 'reward': 0.28125, 'reward_std': 0.2630178928375244, 'frac_reward_zero_std': 0.5, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': -0.0, 'grad_norm': 11.810458183288574, 'learning_rate': 6.528189910979229e-07, 'num_tokens': 813562.0, 'completions/mean_length': 1023.25, 'completions/min_length': 1015.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.3125, 'rewards/compute_reward/std': 0.4709290862083435, 'reward': 0.3125, 'reward_std': 0.3745020925998688, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': -0.0, 'grad_norm': 275.32861328125, 'learning_rate': 6.82492581602374e-07, 'num_tokens': 848917.0, 'completions/mean_length': 1023.59375, 'completions/min_length': 1021.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.21875, 'rewards/compute_reward/std': 0.420013427734375, 'reward': 0.21875, 'reward_std': 0.3377464711666107, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': -0.0, 'grad_norm': 99.71553039550781, 'learning_rate': 7.12166172106825e-07, 'num_tokens': 884319.0, 'completions/mean_length': 1023.8125, 'completions/min_length': 1020.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.125, 'rewards/compute_reward/std': 0.33601075410842896, 'reward': 0.125, 'reward_std': 0.2925041913986206, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': -0.0, 'grad_norm': 39.86012649536133, 'learning_rate': 7.41839762611276e-07, 'num_tokens': 919688.0, 'completions/mean_length': 1023.53125, 'completions/min_length': 1022.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.28125, 'rewards/compute_reward/std': 0.45680341124534607, 'reward': 0.28125, 'reward_std': 0.4397946000099182, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'grad_norm': 17.883394241333008, 'learning_rate': 7.71513353115727e-07, 'num_tokens': 954788.0, 'completions/mean_length': 1023.625, 'completions/min_length': 1021.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.0625, 'rewards/compute_reward/std': 0.24593468010425568, 'reward': 0.0625, 'reward_std': 0.1767766922712326, 'frac_reward_zero_std': 0.5, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': -0.0, 'grad_norm': 60.59212112426758, 'learning_rate': 8.011869436201782e-07, 'num_tokens': 990344.0, 'completions/mean_length': 1023.375, 'completions/min_length': 1021.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.3125, 'rewards/compute_reward/std': 0.4709290862083435, 'reward': 0.3125, 'reward_std': 0.4671337604522705, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': -0.0, 'grad_norm': 71.3003921508789, 'learning_rate': 8.308605341246291e-07, 'num_tokens': 1025891.0, 'completions/mean_length': 1023.59375, 'completions/min_length': 1020.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.25, 'rewards/compute_reward/std': 0.4399413466453552, 'reward': 0.25, 'reward_std': 0.4492306709289551, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': -0.0, 'grad_norm': 46.33980941772461, 'learning_rate': 8.605341246290802e-07, 'num_tokens': 1061105.0, 'completions/mean_length': 1023.1875, 'completions/min_length': 1018.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.3125, 'rewards/compute_reward/std': 0.4709290862083435, 'reward': 0.3125, 'reward_std': 0.4492306709289551, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': -0.0, 'grad_norm': 63.048213958740234, 'learning_rate': 8.902077151335312e-07, 'num_tokens': 1096442.0, 'completions/mean_length': 1023.28125, 'completions/min_length': 1021.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.28125, 'rewards/compute_reward/std': 0.45680341124534607, 'reward': 0.28125, 'reward_std': 0.4765698313713074, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
